TYPOS,TYPOGRAPHY,GRAMMAR,REDUNDANCY,essay_id,c1,essay_as_single_utf8_string,prompt,total_error_count,word_count,sentence_count,PUNCTUATION,SHORTEN_IT,COMPOUNDING,MISSPELLING,CASING,STYLE,SYNTAX,REPETITIONS,MULTITOKEN_SPELLING,CONFUSED_WORDS,CLARITY,FORMAL,WIKIPEDIA,OBJECTIVE,CONTRACTIONS,MISC,ACADEMIC
3,9,1,1,0,160,"A ciência é de extrema importância na preservação da vida em todo o mundo. A varíola, por exemplo, foi responsável por epidemias mortíferas ao longo da história e, somente em 1798 o médico britânico Edward Jenner doi capaz de desenvolver uma vacina para essa doença. E graças a ciência em 1980 a varíola foi finalmente declarada erradicada pela OMS (Organização Mundial da Saúde) . Embora a ciência tenha se mostrado eficaz ao longo dos anos, assim como no combate à epidemias como a varíola, na contemporaneidade a comunidade científica enfrenta diversos problemas. No Brasil as circunstâncias não são diferentes, já que a ciência nacional precisa lidar com a falta de recursos e o corte no investimento público. Primeiramente, é imperioso destacar a falta de recursos como um dos principais problemas que atravancam o desenvolvimento científico no Brasil . Essa carência, de acordo com o G1, tem resultado na paralisação de laboratórios nacionais, prejudicando a formação de novos pesquisadores , além de comprometer projetos já aprovados . Em segundo lugar, o corte no investimento público agrava ainda mais a situação dos cientistas no país . Em 2019 o governo anunciou o congelamento de 42% das despesas de investimento do Ministério da Ciência, Tecnologia, Inovações e Comunicações . Tal medida reflete a desvalorização que a ciência enfrenta no Brasil, assim como a falta de reconhecimento por parte da população . Entende-se, portanto, a obrigação do governo federal em reconhecer o valor que a comunidade científica tem para o país e para cada indivíduo. Desse modo, cabe ao governo federal promover um aumento nas verbas destinadas ao Ministério da Ciência para o desenvolvimento de pesquisas e novos projetos científicos . Além disso, a comunidade deve atuar em conjunto para combater a desvalorização da ciência no Brasil, por meio de protestos, virtuais e em praças públicas, para que o governo, então pressionado pela população, priporcione a ciência seu devido reconhecimento . Apenas assim a comunidade científica pode prosperar no Brasile lutar pela prevenção da vida humana, como em epidemias e outras doenças que diariamente matam seres humanos.",50,14,334,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,1,160,""" Uma mulher que não tem controle sobre o seu corpo, não pode ser uma mulher livre"", dizia Margaret Sanger, que em meados da década de 40, já pregava a importância da autonomia da mulher sobre o seu próprio corpo. Porém em pleno século XXI, é possível ouvir diversos relatos onde essa autonomia foi violada, em especial em partos, situação na qual, diversas mulheres são vítimas de violência obstétrica. Desta maneira faz-se importante o debate a cerca de partos mais humanizados -onde a mulher e o bebê são os protagonistas- e também do papel do estado na promoção de políticas de respeito aos direitos humanos mais efetivas. Em primeira análise, é necessário ressaltar a importância da mulher possuir o poder de decisão sobre o quê será feito em seu corpo em todas as situações, inclusive na hora do parto, onde muitas das vezes ela fica refém das decisões de outrem, não tendo sequer o direito de manifestar suas vontades. Ao analisarmos as pesquisas mais recentes fica claro como a violência obstétrica ainda se faz presente nas maternidades, em especial nas públicas, do Brasil. Dados do IBGE mostram que cerca de uma em cada quatro mulheres que são mães foram vítimas de algum tipo de violência obstétrica, ou tiveram suas vontades desrespeitadas de maneira arbitrária, o que gerou diversos traumas para essas mulheres, que viram o seu corpo ser desrespeitado por uma equipe médica muita das vezes despreparada. Diante disso, o parto humanizado vem a ser uma grande oportunidade para que casos como esses diminuam, pois ele devolve mãe a autoridade sobre seu corpo e o de seu filho. Portanto, é de extrema importância que o ministério da saúde crie políticas públicas de incentivo a partos mais humanizados , utilizando-se de palestras para gestantes e profissionais da saúde sobre a importância de partos mais ""humanos"". Da mesma maneira, faz-se necessário que os profissionais supracitados sejam capacitados para tais ações, com cursos oferecidos pelo ministério da educação, para que tenhamos cada dia mais mulheres que podem ser consideradas livres.",93,4,335,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,15,2,0,2,120,"O Brasil em 2016 será sede das Olimpíadas. Com a prática esportiva podemos aprender que exercícios físicos evitam doenças crônicas. Ajuda no combate ao infarto,derrame cerebral(ACV ).Entretanto, a maioria das pessoas ainda deixam de lado a adoção de um estilo de vida mais saudável,por conta da correria do dia-a dia. O sedentarismo é um grande vilão para a nossa saúde.Como diz a lei de newton ação e reação,que se aplica à prática de esportes,quanto mais nos exercitarmos, mais teremos uma vida mais saudável, livre de doenças crônicas causadas pela inactividade. Porém,essa não é a realidade da maioria do brasileiros,pois a rotina apertada não deixa espaço para cuidarem da saúde fídica e da alimentação saudável, que também influência no bem estar. Além disso,não somos acostumados á prática de esportes. Com a prática de exercícios físicos alivia o stress,melhora o desenvolvimento físico e mental, proporciona maior flexibilidade aos nossos músculos,o que irá aumentar a capacidade cardiorrespiratória. Logo,podemos aprender que à prática esportiva é benéfica e essencial para o corpo humano. Como dizia Platão""O importante não é viver,mas viver bem''.A frase do filósofo deixa claro que para vivermos bem precisamos estar bem principalmente com o nosso corpo. Apesar de as pessoas terem rotinas muito corridas, deveriam organizar melhor o seu tempo e, além disso, ingerir alimentos saudáveis, a fim de melhorar o desempenho físico. Os pais de crianças e adolescentes deveriam também incentivar à prática esportiva e a boa alimentação, trazendo para dentro de casa o exemplo. Além disso, os Prefeitos dos municípios brasileiros deveriam criar projetos nos bairros das cidades com o auxílio de profissionais, a fim de animar e estimular a prática de exercícios físicos em praças e campeonatos esportivos para de que os cidadãos pratiquem esportes com maior frequência.",83,22,302,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,3,3,120,"Desde o início do século XX e até mesmo antes as famílias eram muito tradicionais, com isso não era permitido ter relações sexuais antes do casamento . Contudo se pararmos para pensar e analisar a gravidez precoce não é algo tão atual como pensamos, pois quando as mulheres se casavam cedo, com aproximadamente 15 ou 16 anos e até menos era quase que uma obrigação delas engravidar, consequentemente já era uma gravidez precoce, porem não vista dessa forma pelo fato delas já estarem casadas. Uma gravidez na adolescência atrapalha sim a vida dos jovens pois a maioria deles ainda estão cursando o ensino médio. proximadamente 25% das mães adolescentes tem entre 13 e 17 anos e quando descobrem a gravidez tendem a abandonar a escola e mesmo quando não abandonam logo no início elas precisam de fato sair o que é um problema. O início da vida sexual precocemente ativa em si não é um problema tão grande, entretanto de não recomendado, mas o foco mesmo deveria estar concentrado na educação sexual dentro de casa que para os pais ainda é um tabu e acreditam que se conversarem com seus filhos e dar as devidas infirmações de prevenção estariam incentivando seus filhos a praticar o ato. As escolas e secretaria da educação tem uma parcela de culpa nisso tudo pois o conteúdo de educação sexual geralmente são para o Ensino médio e/ou nonos anos do fundamental e todos sabemos que muitos começam a vida sexual ativa antes. Estes de fato deveriam ser os focos. m suma, a sociedade deveria falar mais abertamente sobre isso, sem todo esse tabu, quando se tem informações fica mais fácil de se prevenir . Por meio de anúncios publicitários informativos tanto em cartazes espalhados quanto nos veículos de comunicações e redes sociais, também com o início dessas aulas de educação sexual direto no sétimo ano regida pelo ministério da educação e secretaria municipal de educação e conversas em casa por parte dos pais, com a finalidade de ensinar a como se prevenir, sem punir os filhos por isso, mas sempre aconselhando, o números de pais adolescentes iria diminuir bruscamente isso juntamente com a apresentação de métodos contraceptivos. A prevenção sempre é o melhor caminho.",52,12,367,10,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,5,2,0,4,120,"Os Gregos já utilizavam o teatro como forma de conscientizar e ensinar a sociedade por meio de histórias que refletiam os problemas inseridos naquele contexto cultural e histórico. Além disso, com a evolução social e o advento de novas tecnologias, o jeito de representar também muda, no lugar de peças, surgiam os filmes e o cinema no modelo como entendemos hoje. Dito isto,paralelamente ao desenvolvimento desse novo tipo de arte, seu acesso se tornou cada vez mais restrito, sendo mais uma marca da segregação. Antes de mais nada, é importante ressaltar que com a chegada da industrialização no Brasil, o exôdo rural acentua-se, acarretando no macrocefalismo e a periferização do meio urbano, devido a falta de infraestrutura e investimento do governo. Nesse sentido, este apartheid social dificulta o contato com o cinema por parte da população mais pobre, visto que todos os dias muitos brasileiros se deslocam de suas casas a seu local de trabalho a fim de obter um salário. Isto posto, a busca por lazer e bemestar seria ainda mais árdua , uma vez que espaços que reproduzem obras cinematográficas se concentram em regiões polarizadas economicamente. Em segundo lugar, é interessante destacar que universidades renomadas já empregam filmes como prérequisito para realizar a prova de processo seletivo, como é o caso da FGV (Fundação Getúlio Vargas), reconhecendo a possibilidade de ensinar por meio do cinema. Assim sendo, ilustra o impacto do cinema na nossa sociedade e a importância de sua democratização. Portanto, soluções devem sem tomadas a fim de mitigar esse problema. Segundo Hegel:""O Estado é o pai da população, e cabe a ele cuidar de seus filhos.""Por isto, cabe ao Ministério da cultura promover eventos relacionados ao cinema nas regiões periféricas do país. Ademais, cabe ao Ministério da educação acrescentar filmes na grade curricular de escolas públicas como ferramentas de ensino, aproximando a cultura da população carente. Pois, segundo Kant e Lamark, a educação e o meio, respectivamente,são essenciais para a formação do indivíduo.",57,14,329,13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,5,120,"No Brasil é inegável que os negros mesmo após serem libertos do trabalho escravo continuaram a ser inferiorizados pelo racismo remanescente. Mesmo após a saída dos colonizadores europeus, o darwinismo social continua a existir mesmo que de forma disfarçada no imaginário dos ex-colonos. Com o passar dos anos, medidas foram tomadas para superar a situação e implementar a igualdade entre as pessoas, porém mais precisa ser feito pois o cenário ainda não é satisfatório. Dentre as medidas já tomadas, a criação de cotas raciais foi um grande passo. As cotas garantem o ingresso de negros em universidades e empresas, então com o acesso à educação e emprego essa parcela da população, por anos marginalizada, consegue alcançar melhor qualidade de vida e dignidade. Segundo o IBGE o percentual de universitários negros mais que dobrou depois da adoção desse sistema. Apesar disso, ainda é possível notar que a igualdade racial não foi alcançada. O racismo aparece nos ataques a terreiros de religiões africanas, nos padrões de estética da sociedade que valorizam o nariz fino e cabelos lisos tipicamente europeus, na sensualização exacerbada das pessoas com pele “cor de pecado” e até mesmo nas estatísticas de homicídio. De acordo com a ONU, aproximadamente quatro negros são mortos por hora no Brasil. Percebe-se assim, que mesmo com leis antirracismo no imaginário da população o negro e tudo que diz respeito a ele é visto como inferior ou ruim. Dessa forma, portanto, é perceptível que mais do que leis antirracistas é necessário que as mudanças caminhem no sentido ideológico e de conscientização. Assim, uma proposta interessante é que o MEC inclua no material didático da educação básica mais sobre a história dos negros do Brasil. Histórias como a da negra Maria Felipa que lutou pela independência brasileira devem ser conhecidas e estudadas pela população desde a fase da infância. Conhecendo mais sobre a importância que os negros tiveram e têm para o Brasil, haverá mudanças no imaginário popular que removerá as correntes ideológicas que prendem o negro no lugar de mau, inferior, feio e só assim haverá diminuição do preconceito.",73,2,345,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,1,1,6,160,"De acordo com o sociólogo alemão Émile Durkheim, a sociedade pode ser comparada a um ""corpo biológico"", por ser, assim como esse, composta por partes que interagem entre si. Desse modo, para que esse organismo seja igualitário e coeso, é necessário que o direito de todos os cidadãos sejam garantidos. No entanto, isso, no Brasil, não ocorre, pois a população negra ainda, mesmo diante de avanços sociais no país, é alvo de preconceito e discriminação. O Brasil se caracteriza por uma colonização exploratória, monocultora e latifundiária . Nesse contexto de domínio europeu, milhares de africanos foram tragos compulsoriamente ao Brasil para comporem o sistema escravista. A população de africanos foi exposta à doutrinação religiosa, ao trabalho desumano e a discriminação social, ou seja, sua história foi marcada por ausência de direitos necessários a um condição digna de vida. Tal conjuntura de exclusão social , mesmo depois de séculos d abolição da escravatura em terras tupiniquins, ainda persegue os afrobrasileiros . Segundo a Pesquisa Nacional por Amostra de Domicílio (PNAD) - organizada pelo Instituto Brasileiro de Geografia e Estatística (IBGE) entre 2011 e 2015 - os negros representam 55% da população brasileira e que essa maioria tem menores salários, pouca escolaridade e alta mortalidade. Assim, diante desse cenário de exclusão histórico-social, o Governo Brasileiro toma medidas que ajudam a diminuir as disparidades que marcam o país. As ações afirmativas, por exemplo, permitem jovens negros -majoritariamente pobres no Brasil - a competirem de forma mais justa aos exames de acesso às principais universidades públicas brasileiras. O acesso a uma educação superior é uma das maiores ferramentas de ascensão social que esses jovens possuem. Em decorrência disso, cabe ao Governo Federal e ao terceiro setor a tarefa de reverter esse cenário. O terceiro setor - composto por associações que buscam se agrupar para conseguir melhorias na sociedade - deve, através de mais palestras, grupos de discussão e a mídia, conscientizar as famílias de todo o Brasil sobre a cultura plural que compõe o país e mitigar a discriminação racial desde a educação infantil. O Governo Federal, por fim, deve intensificar a expansão de mais direitos sociais à população afrobrasileira. Dessa forma, o Brasil será, de fato, um Estado Democrático de Direito.",73,8,360,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,7,160,"As pautas ambientalistas têm sido cada vez mais discutidas no cenário mundial, o qual em que, mais recentemente, passou passou-se a discutir sobre a exploração da floresta amazônica. A grande questão é se a floresta deve ganhar ""status"" internacional ou se deve continuar sendo responsabilidade dos países que compõem abrangem a Amazônia. Mas seria justa justo que apenas alguns países da América do Sul tivessem que ceder suas florestas em prol do planeta, enquanto outras nações que já exploraram suas vegetações não pagam nada por isso? A floresta amazônica é a maior do mundo e sua exploração causaria muitos impactos ao planeta, no entanto, não se pode exigir que apenas os países que compõem abrangem a Amazônia paguem a conta pelos países que já exploraram suas vegetações. Para que isso ocorra de maneira justa, todos os países deveriam ter uma porcentagem mínima de floresta preservada, e os que não conseguissem manter o mínimo, deveriam pagar aos que possuem mais áreas preservadas. Dessa maneira, o Brasil seria capaz de extrair recursos financeiros da Amazônia sem ter que explorá-la, mantendo, assim, a integridade do ecossistema do planeta. Com isso, pode-se concluir que é preciso sim preservar a floresta amazônica, mas essa tarefa também é responsabilidade dos países que já exploraram suas vegetações e devem, portanto, pagar por isso. Assim, o Brasil preservaria suas florestas em prol do planeta e seria remunerado pelas nações que não puderam fazê-lo.",6,1,235,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,8,160,"Embora a escravidão tenha sido abolida em 1888, com a Lei Áurea, ainda hoje percebe-se a continuidade do trabalho escravo no Brasil. Tal persistência tem relação com a ineficiência das políticas públicas destinadas a combater os diversos tipos de escravidão no país. Sob essa perspectiva, nota-se que, para melhor coibir as práticas escravistas, o governo deve investigar as causas e consequências desse tipo de crime na sociedade brasileira. A princípio, pode-se relacionar a continuidade do trabalho análogo à escravidão ao interesse capitalista das grandes empresas. Na prática, isso significa que, para tornar seus produtos mais competitivos no mercado, as indústrias diminuem seus preços. Dessa forma, para manter o lucro, as fábricas recorrem à mão de obra barata, instalando unidades de produção em locais onde usufruem de leis trabalhistas brandas, possibilitando, assim, a exploração do trabalhador. Além disso, é importante notar que a pobreza e a baixa escolaridade contribuem para aumentar o número de escravos no Brasil. Nesse cenário, muitos trabalhadores, por serem empobrecidos demais ou dependentes de seus exploradores para sobreviverem, acabam não denunciando as condições insalubres a que estão submetidos. Prova disso, são os imigrantes haitianos que vêm para o país. Sem perspectivas trabalhistas , muitos desses cidadãos acabam sendo escravizados no Brasil. Por tudo isso, é fundamental que o Estado adote medidas efetivas para diminuir os índices do trabalho escravo no Brasil. Para tanto, o governo deve não só intensificar as leis já existentes, punindo com rigor os criminosos, como também ampliar o sistema de educação para um maior número de jovens e adultos. Ademais, é importante que a mídia crie campanhas incentivando a população a denunciar os casos de trabalho escravo. Com isso, poderá ser formada uma sociedade mais justa e igualitária, respeitando os direitos humanos.",36,2,288,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,2,9,40,"Durante a colonização do Brasil, o índio foi sujeito a à imposição portuguesa de forma grotesca que apesar da sua bravura e resistência acabaram sendo contidos e escravizados. Nos dias atuais, depois do romance indianista, tal figura ganhou popularidade e debates nas redes sociais sociais, juntamente com outros símbolos culturais, a fim de que possam esclarecer se é correto o uso de fantasias que não façam parte do seu âmbito cultural. A #índionãoéfantasia ganhou notoriedade quando a indígena Katú Mirim postou um vídeo nas redes sociais afirmando que tal fantasia é desrespeitosa e racista contra o seu povo povo, além de enaltecer o estereótipo do índio folclórico. É nesse período de que que as lojas começam a vender loucamente esse tipo de fantasia e que o brasileiro logo faz uma referência com a colonização e compra na tentativa de homenagear, mas quando perguntam aos ao mesmo, que povos estão sendo homenageado? não saberão responder e logo a fantasia deixa de ser um ""singela homenagem"" para se tornar mais uma peça de roupa que está apenas seguindo o rumo da moda. Essas discursões discussões variam de época para época, não podemos confundir artifícios usados com o objetivo de trocas culturais a exemplo de intercâmbios, com essas tentativas banais semelhantes a de Alessandra Negrini de usar a cultura indígena para a autopromoção. Ainda no mesmo contexto há o ""blackface"", a prática de pessoas fenotipicamente brancas pintarem suas caras com tintas pretas, além da utilização de artifícios afro-americanos afroamericanos como turbantes, perucas blackpower, entre outros, na mesma ideia de homenagear, mas acaba sendo traduzido como apropriação cultural. Diante dos fatos expostos, o homem branco já conquistou muito espaço e interferir dentro da cultura que não lhe pertence é algo inadmissível. Cabe a nós nós, a longo prazo prazo, educarmos as nossas crianças a dar valor a sua cultura e respeitar o espaço onde não lhe representa, a fim de que haja uma harmonia cultural além de repelir o uso exclusivo para a auto exaltação autoexaltação, sem relação com a realidade com a intenção de evitar possíveis afrontas.",0,16,344,9,0,0,1,0,1,0,2,5,0,0,0,0,0,0,0,0,0
0,0,0,0,10,160,"O atentado terrorista no prédio do jornal satírico Charlie Hebdo levantou vários questionamentos sobre a existência de limites para a liberdade de expressão. Mesmo em países democráticos, ninguém tem o direito de insultar pessoas. Porém, é inexistente o dever de respeitar ideias. As charges do Charles Hebdo criticavam religiões, que são conjuntos de pensamentos e ideias, então eles não deviam, de maneira alguma, serem punidos por isso. O único limite da liberdade de expressão é a lei. Ideias racistas ou homofóbicas, por exemplo, não podem ser defendidas utilizando essa liberdade como justificativa. Os autores das charges não infringiram nenhuma lei, mas os terroristas, obviamente, sim. É inadmissível tentar justificar o atentado com “Os autores das charges provocaram os terroristas”. Provocação não é um motivo plausível para cometer assassinatos. Uma das vítimas do atentado ocorrido foi a liberdade de expressão. Limitações devem ser atribuídas às atitudes desses terroristas, não à liberdade que tanto lutamos para conseguir.",120,1,155,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,1,3,11,160,"No contexto atual em que estamos vivendo, se uma só pessoa segue o isolamento não é tão eficaz se todos colaborassem e ficassem em casa, ou em necessidade quando sair seguir as orientações da Organização Mundial da Saúde (OMS). Como disse Willian James “O ser humano pode alterar a sua vida mudando sua atitude mental”, se todos pensássemos no próximo e que se ficarmos no isolamento social, podemos reerguer a economia e sair dessa crise. Diante do atual cenário em que estamos, algumas áreas, como o turismo sairão prejudicadas pelo fato de estarmos em isolamento social. Porém muitos acham que pelo fato de ficar em casa a falta de pessoas andando pelas ruas gerou a crise, mas a crise está pelo mundo todo. Se não houver o isolamento social mais pessoas morrem, e a crise só iria aumentar. Portanto, medidas são necessárias para resolver o problema, cabe ao governo ajudar com renda ou cestas básicas para pessoas de baixa renda durante o isolamento, para que não corra o risco de se contaminar. E cabe ao governo de cada estado implantar normas como: avisos prévios de que se não cumprir o isolamento irá receber uma multa, e se todos mudarem sua atitude mental como disse o Willian James podemos sair dessa o mais rápido possível e recuperar a economia.",89,6,218,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
