PUNCTUATION,FORMAL,GRAMMAR,total_error_count,word_count,sentence_count,token_count,CASING,TYPOGRAPHY,MISSPELLING,ACADEMIC,REDUNDANCY,SYNTAX,REPETITIONS,CONFUSED_WORDS,TYPOS,COMPOUNDING,CLARITY,OBJECTIVE,MULTITOKEN_SPELLING,SHORTEN_IT,STYLE,CONTRACTIONS
2,1,1,4,135,11,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,2,4,214,8,279,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,8,245,11,342,0,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1,10,207,7,292,0,1,0,0,0,3,3,1,0,0,0,0,0,0,0,0
3,0,4,16,284,3,403,1,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0
1,0,2,9,180,6,246,0,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0
0,0,0,4,204,6,299,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0,0,0,1,95,4,127,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,15,199,6,280,1,1,0,0,0,0,0,4,8,1,0,0,0,0,0,0
1,0,1,2,181,11,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,13,253,4,357,1,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0
3,0,0,11,256,8,353,0,0,0,0,1,2,3,1,1,0,0,0,0,0,0,0
2,0,0,5,243,9,320,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,0,0,5,224,7,329,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,14,126,3,166,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0
0,1,0,3,174,7,243,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
3,0,14,32,304,5,419,0,0,0,0,0,0,9,5,0,0,1,0,0,0,0,0
0,0,1,8,227,10,331,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0
0,0,2,7,136,6,195,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0
0,0,1,6,289,9,421,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1
1,1,2,8,174,8,283,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
4,0,2,10,147,5,200,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1
2,0,1,4,140,6,184,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,6,324,12,481,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0
0,0,0,6,257,7,374,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0
